kind	name	state_code	state_name	fips
state	Alabama	AL	Alabama	01
state	Alaska	AK	Alaska	02
state	Arizona	AZ	Arizona	04
state	Arkansas	AR	Arkansas	05
state	California	CA	California	06
state	Colorado	CO	Colorado	08
state	Connecticut	CT	Connecticut	09
state	Delaware	DE	Delaware	10
state	District of Columbia	DC	District of Columbia	11
state	Florida	FL	Florida	12
state	Georgia	GA	Georgia	13
state	Hawaii	HI	Hawaii	15
state	Idaho	ID	Idaho	16
state	Illinois	IL	Illinois	17
state	Indiana	IN	Indiana	18
state	Iowa	IA	Iowa	19
state	Kansas	KS	Kansas	20
state	Kentucky	KY	Kentucky	21
state	Louisiana	LA	Louisiana	22
state	Maine	ME	Maine	23
state	Maryland	MD	Maryland	24
state	Massachusetts	MA	Massachusetts	25
state	Michigan	MI	Michigan	26
state	Minnesota	MN	Minnesota	27
state	Mississippi	MS	Mississippi	28
state	Missouri	MO	Missouri	29
state	Montana	MT	Montana	30
state	Nebraska	NE	Nebraska	31
state	Nevada	NV	Nevada	32
state	New Hampshire	NH	New Hampshire	33
state	New Jersey	NJ	New Jersey	34
state	New Mexico	NM	New Mexico	35
state	New York	NY	New York	36
state	North Carolina	NC	North Carolina	37
state	North Dakota	ND	North Dakota	38
state	Ohio	OH	Ohio	39
state	Oklahoma	OK	Oklahoma	40
state	Oregon	OR	Oregon	41
state	Pennsylvania	PA	Pennsylvania	42
state	Rhode Island	RI	Rhode Island	44
state	South Carolina	SC	South Carolina	45
state	South Dakota	SD	South Dakota	46
state	Tennessee	TN	Tennessee	47
state	Texas	TX	Texas	48
state	Utah	UT	Utah	49
state	Vermont	VT	Vermont	50
state	Virginia	VA	Virginia	51
state	Washington	WA	Washington	53
state	West Virginia	WV	West Virginia	54
state	Wisconsin	WI	Wisconsin	55
state	Wyoming	WY	Wyoming	56
county	Autauga County	AL	Alabama	01001
county	Baldwin County	AL	Alabama	01003
county	Barbour County	AL	Alabama	01005
county	Bibb County	AL	Alabama	01007
county	Blount County	AL	Alabama	01009
county	Bullock County	AL	Alabama	01011
county	Butler County	AL	Alabama	01013
county	Calhoun County	AL	Alabama	01015
county	Chambers County	AL	Alabama	01017
county	Cherokee County	AL	Alabama	01019
county	Chilton County	AL	Alabama	01021
county	Choctaw County	AL	Alabama	01023
county	Clarke County	AL	Alabama	01025
county	Clay County	AL	Alabama	01027
county	Cleburne County	AL	Alabama	01029
county	Coffee County	AL	Alabama	01031
county	Colbert County	AL	Alabama	01033
county	Conecuh County	AL	Alabama	01035
county	Coosa County	AL	Alabama	01037
county	Covington County	AL	Alabama	01039
county	Crenshaw County	AL	Alabama	01041
county	Cullman County	AL	Alabama	01043
county	Dale County	AL	Alabama	01045
county	Dallas County	AL	Alabama	01047
county	DeKalb County	AL	Alabama	01049
county	Elmore County	AL	Alabama	01051
county	Escambia County	AL	Alabama	01053
county	Etowah County	AL	Alabama	01055
county	Fayette County	AL	Alabama	01057
county	Franklin County	AL	Alabama	01059
county	Geneva County	AL	Alabama	01061
county	Greene County	AL	Alabama	01063
county	Hale County	AL	Alabama	01065
county	Henry County	AL	Alabama	01067
county	Houston County	AL	Alabama	01069
county	Jackson County	AL	Alabama	01071
county	Jefferson County	AL	Alabama	01073
county	Lamar County	AL	Alabama	01075
county	Lauderdale County	AL	Alabama	01077
county	Lawrence County	AL	Alabama	01079
county	Lee County	AL	Alabama	01081
county	Limestone County	AL	Alabama	01083
county	Lowndes County	AL	Alabama	01085
county	Macon County	AL	Alabama	01087
county	Madison County	AL	Alabama	01089
county	Marengo County	AL	Alabama	01091
county	Marion County	AL	Alabama	01093
county	Marshall County	AL	Alabama	01095
county	Mobile County	AL	Alabama	01097
county	Monroe County	AL	Alabama	01099
county	Montgomery County	AL	Alabama	01101
county	Morgan County	AL	Alabama	01103
county	Perry County	AL	Alabama	01105
county	Pickens County	AL	Alabama	01107
county	Pike County	AL	Alabama	01109
county	Randolph County	AL	Alabama	01111
county	Russell County	AL	Alabama	01113
county	St. Clair County	AL	Alabama	01115
county	Shelby County	AL	Alabama	01117
county	Sumter County	AL	Alabama	01119
county	Talladega County	AL	Alabama	01121
county	Tallapoosa County	AL	Alabama	01123
county	Tuscaloosa County	AL	Alabama	01125
county	Walker County	AL	Alabama	01127
county	Washington County	AL	Alabama	01129
county	Wilcox County	AL	Alabama	01131
county	Winston County	AL	Alabama	01133
county	Aleutians East Borough	AK	Alaska	02013
county	Aleutians West Census Area	AK	Alaska	02016
county	Anchorage Municipality	AK	Alaska	02020
county	Bethel Census Area	AK	Alaska	02050
county	Bristol Bay Borough	AK	Alaska	02060
county	Chugach Census Area	AK	Alaska	02063
county	Copper River Census Area	AK	Alaska	02066
county	Denali Borough	AK	Alaska	02068
county	Dillingham Census Area	AK	Alaska	02070
county	Fairbanks North Star Borough	AK	Alaska	02090
county	Haines Borough	AK	Alaska	02100
county	Hoonah-Angoon Census Area	AK	Alaska	02105
county	Juneau City and Borough	AK	Alaska	02110
county	Kenai Peninsula Borough	AK	Alaska	02122
county	Ketchikan Gateway Borough	AK	Alaska	02130
county	Kodiak Island Borough	AK	Alaska	02150
county	Kusilvak Census Area	AK	Alaska	02158
county	Lake and Peninsula Borough	AK	Alaska	02164
county	Matanuska-Susitna Borough	AK	Alaska	02170
county	Nome Census Area	AK	Alaska	02180
county	North Slope Borough	AK	Alaska	02185
county	Northwest Arctic Borough	AK	Alaska	02188
county	Petersburg Borough	AK	Alaska	02195
county	Prince of Wales-Hyder Census Area	AK	Alaska	02198
county	Sitka City and Borough	AK	Alaska	02220
county	Skagway Municipality	AK	Alaska	02230
county	Southeast Fairbanks Census Area	AK	Alaska	02240
county	Wrangell City and Borough	AK	Alaska	02275
county	Yakutat City and Borough	AK	Alaska	02282
county	Yukon-Koyukuk Census Area	AK	Alaska	02290
county	Apache County	AZ	Arizona	04001
county	Cochise County	AZ	Arizona	04003
county	Coconino County	AZ	Arizona	04005
county	Gila County	AZ	Arizona	04007
county	Graham County	AZ	Arizona	04009
county	Greenlee County	AZ	Arizona	04011
county	La Paz County	AZ	Arizona	04012
county	Maricopa County	AZ	Arizona	04013
county	Mohave County	AZ	Arizona	04015
county	Navajo County	AZ	Arizona	04017
county	Pima County	AZ	Arizona	04019
county	Pinal County	AZ	Arizona	04021
county	Santa Cruz County	AZ	Arizona	04023
county	Yavapai County	AZ	Arizona	04025
county	Yuma County	AZ	Arizona	04027
county	Arkansas County	AR	Arkansas	05001
county	Ashley County	AR	Arkansas	05003
county	Baxter County	AR	Arkansas	05005
county	Benton County	AR	Arkansas	05007
county	Boone County	AR	Arkansas	05009
county	Bradley County	AR	Arkansas	05011
county	Calhoun County	AR	Arkansas	05013
county	Carroll County	AR	Arkansas	05015
county	Chicot County	AR	Arkansas	05017
county	Clark County	AR	Arkansas	05019
county	Clay County	AR	Arkansas	05021
county	Cleburne County	AR	Arkansas	05023
county	Cleveland County	AR	Arkansas	05025
county	Columbia County	AR	Arkansas	05027
county	Conway County	AR	Arkansas	05029
county	Craighead County	AR	Arkansas	05031
county	Crawford County	AR	Arkansas	05033
county	Crittenden County	AR	Arkansas	05035
county	Cross County	AR	Arkansas	05037
county	Dallas County	AR	Arkansas	05039
county	Desha County	AR	Arkansas	05041
county	Drew County	AR	Arkansas	05043
county	Faulkner County	AR	Arkansas	05045
county	Franklin County	AR	Arkansas	05047
county	Fulton County	AR	Arkansas	05049
county	Garland County	AR	Arkansas	05051
county	Grant County	AR	Arkansas	05053
county	Greene County	AR	Arkansas	05055
county	Hempstead County	AR	Arkansas	05057
county	Hot Spring County	AR	Arkansas	05059
county	Howard County	AR	Arkansas	05061
county	Independence County	AR	Arkansas	05063
county	Izard County	AR	Arkansas	05065
county	Jackson County	AR	Arkansas	05067
county	Jefferson County	AR	Arkansas	05069
county	Johnson County	AR	Arkansas	05071
county	Lafayette County	AR	Arkansas	05073
county	Lawrence County	AR	Arkansas	05075
county	Lee County	AR	Arkansas	05077
county	Lincoln County	AR	Arkansas	05079
county	Little River County	AR	Arkansas	05081
county	Logan County	AR	Arkansas	05083
county	Lonoke County	AR	Arkansas	05085
county	Madison County	AR	Arkansas	05087
county	Marion County	AR	Arkansas	05089
county	Miller County	AR	Arkansas	05091
county	Mississippi County	AR	Arkansas	05093
county	Monroe County	AR	Arkansas	05095
county	Montgomery County	AR	Arkansas	05097
county	Nevada County	AR	Arkansas	05099
county	Newton County	AR	Arkansas	05101
county	Ouachita County	AR	Arkansas	05103
county	Perry County	AR	Arkansas	05105
county	Phillips County	AR	Arkansas	05107
county	Pike County	AR	Arkansas	05109
county	Poinsett County	AR	Arkansas	05111
county	Polk County	AR	Arkansas	05113
county	Pope County	AR	Arkansas	05115
county	Prairie County	AR	Arkansas	05117
county	Pulaski County	AR	Arkansas	05119
county	Randolph County	AR	Arkansas	05121
county	St. Francis County	AR	Arkansas	05123
county	Saline County	AR	Arkansas	05125
county	Scott County	AR	Arkansas	05127
county	Searcy County	AR	Arkansas	05129
county	Sebastian County	AR	Arkansas	05131
county	Sevier County	AR	Arkansas	05133
county	Sharp County	AR	Arkansas	05135
county	Stone County	AR	Arkansas	05137
county	Union County	AR	Arkansas	05139
county	Van Buren County	AR	Arkansas	05141
county	Washington County	AR	Arkansas	05143
county	White County	AR	Arkansas	05145
county	Woodruff County	AR	Arkansas	05147
county	Yell County	AR	Arkansas	05149
county	Alameda County	CA	California	06001
county	Alpine County	CA	California	06003
county	Amador County	CA	California	06005
county	Butte County	CA	California	06007
county	Calaveras County	CA	California	06009
county	Colusa County	CA	California	06011
county	Contra Costa County	CA	California	06013
county	Del Norte County	CA	California	06015
county	El Dorado County	CA	California	06017
county	Fresno County	CA	California	06019
county	Glenn County	CA	California	06021
county	Humboldt County	CA	California	06023
county	Imperial County	CA	California	06025
county	Inyo County	CA	California	06027
county	Kern County	CA	California	06029
county	Kings County	CA	California	06031
county	Lake County	CA	California	06033
county	Lassen County	CA	California	06035
county	Los Angeles County	CA	California	06037
county	Madera County	CA	California	06039
county	Marin County	CA	California	06041
county	Mariposa County	CA	California	06043
county	Mendocino County	CA	California	06045
county	Merced County	CA	California	06047
county	Modoc County	CA	California	06049
county	Mono County	CA	California	06051
county	Monterey County	CA	California	06053
county	Napa County	CA	California	06055
county	Nevada County	CA	California	06057
county	Orange County	CA	California	06059
county	Placer County	CA	California	06061
county	Plumas County	CA	California	06063
county	Riverside County	CA	California	06065
county	Sacramento County	CA	California	06067
county	San Benito County	CA	California	06069
county	San Bernardino County	CA	California	06071
county	San Diego County	CA	California	06073
county	San Francisco County	CA	California	06075
county	San Joaquin County	CA	California	06077
county	San Luis Obispo County	CA	California	06079
county	San Mateo County	CA	California	06081
county	Santa Barbara County	CA	California	06083
county	Santa Clara County	CA	California	06085
county	Santa Cruz County	CA	California	06087
county	Shasta County	CA	California	06089
county	Sierra County	CA	California	06091
county	Siskiyou County	CA	California	06093
county	Solano County	CA	California	06095
county	Sonoma County	CA	California	06097
county	Stanislaus County	CA	California	06099
county	Sutter County	CA	California	06101
county	Tehama County	CA	California	06103
county	Trinity County	CA	California	06105
county	Tulare County	CA	California	06107
county	Tuolumne County	CA	California	06109
county	Ventura County	CA	California	06111
county	Yolo County	CA	California	06113
county	Yuba County	CA	California	06115
county	Adams County	CO	Colorado	08001
county	Alamosa County	CO	Colorado	08003
